"","resp2","resp1","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11"
"1",0,0.94,0.631,10,-4.677,0.312,0.0449,0,0.231,0.423,183.216,255640,4
"2",1,0.493,0.919,1,-8.81,0.0613,0.14,1.62e-06,0.122,0.159,216.152,126768,4
"3",0,0.853,0.481,8,-4.104,0.285,0.0171,4.85e-05,0.235,0.142,154.968,248903,4
"4",0,0.891,0.801,4,-8.362,0.0544,0.000114,0.835,0.0991,0.063,128.008,458710,4
"5",0,0.858,0.513,6,-5.219,0.0365,0.0196,0.757,0.0989,0.0998,140.036,209143,4
"6",1,0.687,0.68,7,-8.56,0.324,0.1,0,0.214,0.786,190.228,257764,4
"7",0,0.539,0.555,1,-12.634,0.6,0.0738,0,0.224,0.432,180.134,143177,4
"8",1,0.889,0.682,0,-4.166,0.0804,0.00564,0,0.36,0.827,138.021,192440,4
"9",1,0.954,0.617,7,-6.378,0.0594,0.000466,0.808,0.678,0.83,146.996,491429,4
"10",1,0.963,0.771,7,-3.79,0.0672,0.0143,0.17,0.351,0.518,123.992,292767,4
"11",1,0.888,0.605,6,-6.142,0.0428,0.000103,0.799,0.34,0.546,139.989,520858,4
"12",1,0.97,0.816,2,-5.229,0.128,0.00107,0.832,0.32,0.893,127.007,261463,4
"13",1,0.689,0.939,0,-5.121,0.0877,0.059,0,0.0895,0.502,137.05,188067,4
"14",0,0.646,0.833,10,-8.015,0.0361,0.458,0.387,0.0845,0.295,115.005,152348,4
"15",0,0.471,0.683,11,-11.009,0.0307,0.578,0.752,0.11,0.152,113.957,137176,4
"16",0,0.716,0.863,1,-6.332,0.154,0.195,0,0.145,0.961,132.076,163636,4
"17",1,0.977,0.595,6,-1.16,0.376,0.0444,0.023,0.291,0.389,151.65,214000,4
"18",1,0.518,0.79,8,-6.571,0.212,0.0936,0,0.357,0.487,195.972,151837,4
"19",1,0.9,0.487,0,-4.417,0.0482,6.79e-05,0,0.358,0.484,149.937,204000,4
"20",1,0.703,0.745,7,-10.077,0.149,0.0345,2.54e-06,0.095,0.402,144.933,92690,4
"21",0,0.94,0.487,8,-3.704,0.367,0.00367,0.00549,0.0914,0.223,150.102,279200,4
"22",1,0.575,0.842,1,-4.995,0.158,0.0167,0,0.313,0.29,148.02,169397,4
"23",0,0.588,0.802,10,-11.046,0.0595,0.0299,0.878,0.0822,0.0506,128.989,419351,4
"24",1,0.661,0.614,4,-9.927,0.052,0.107,0.877,0.228,0.375,139.874,212571,4
"25",1,0.726,0.689,5,-8.236,0.3,0.342,0,0.128,0.635,129.934,93399,4
"26",0,0.759,0.537,3,-4.782,0.339,0.145,0,0.123,0.689,185.439,213013,4
"27",1,0.92,0.647,1,-8.061,0.0814,0.0333,0.000515,0.0786,0.278,140.115,201401,4
"28",1,0.636,0.568,11,-4.265,0.204,0.00671,0,0.105,0.879,113.497,197759,5
"29",1,0.834,0.557,0,-8.595,0.0745,0.00141,0.0795,0.232,0.274,141.987,226508,4
"30",0,0.981,0.523,0,-1.477,0.138,0.0113,0.000449,0.145,0.0637,153.024,238039,4
"31",1,0.859,0.622,5,-7.626,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373,4
"32",0,0.886,0.567,11,-4.246,0.033,0.000447,0.365,0.15,0.106,140.026,274299,4
"33",0,0.71,0.854,4,-6.32,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,214947,4
"34",0,0.844,0.602,10,-9.472,0.0339,0.00097,0.8,0.111,0.0692,134.995,307627,4
"35",0,0.799,0.818,1,-4.1,0.156,0.00107,0.128,0.057,0.0815,200.028,213733,4
"36",0,0.874,0.776,6,-5.521,0.0626,0.000221,0.917,0.0652,0.0443,138.993,393438,4
"37",0,0.674,0.74,11,-8.756,0.0435,0.0078,0.775,0.299,0.0328,129.989,428308,4
"38",0,0.733,0.798,7,-4.811,0.0476,0.265,1.25e-06,0.114,0.861,146.046,211427,4
"39",0,0.785,0.754,10,-8.178,0.18,0.0287,0.00144,0.319,0.821,188.246,296267,4
"40",0,0.831,0.713,1,-4.75,0.15,0.0168,0,0.118,0.584,173.948,332301,4
"41",0,0.943,0.547,10,-5.109,0.068,0.0192,0.839,0.0709,0.472,150.049,291200,4
"42",1,0.448,0.797,7,-9.202,0.379,0.0506,0.000533,0.099,0.0777,159.995,152763,4
"43",0,0.684,0.751,2,-6.975,0.0747,0.0963,0,0.135,0.217,199.974,173035,4
"44",1,0.501,0.623,1,-11.343,0.0639,0.126,0.89,0.186,0.192,160.057,124516,4
"45",0,0.687,0.56,11,-3.983,0.0411,0.0304,0.00669,0.0609,0.0383,174.92,226925,4
"46",1,0.859,0.522,0,-3.504,0.0355,0.000274,0.488,0.0784,0.104,174.021,308990,4
"47",1,0.467,0.921,1,-8.443,0.119,0.0149,0.000238,0.334,0.287,135.995,191252,4
"48",0,0.924,0.695,10,-3.626,0.406,0.0468,0,0.191,0.906,164.98,87277,4
"49",0,0.953,0.448,5,-7.599,0.0418,0.000866,0.0448,0.329,0.0736,138.003,259158,4
"50",0,0.692,0.754,8,-2.225,0.0634,0.0388,0,0.254,0.53,154.976,148725,4
"51",0,0.837,0.379,0,-6.316,0.256,0.0205,0,0.0794,0.567,150.152,224400,4
"52",1,0.883,0.523,6,-2.905,0.51,0.397,1.86e-06,0.11,0.357,207.896,228588,4
"53",1,0.482,0.696,8,-10.492,0.0675,0.254,0.0158,0.0941,0.198,150.024,142400,4
"54",1,0.874,0.371,1,-8.086,0.159,0.012,0.697,0.108,0.125,135.975,271381,4
"55",0,0.679,0.765,11,-9.107,0.0698,0.0136,0.896,0.11,0.0687,125.012,401280,4
"56",0,0.915,0.47,5,-3.594,0.0408,0.0685,5.22e-05,0.2,0.244,149.951,200695,4
"57",0,0.949,0.836,11,-4.127,0.0786,0.00295,0.247,0.0542,0.506,126.007,251429,4
"58",0,0.865,0.791,10,-5.665,0.0508,0.00499,0.496,0.0794,0.8,126.012,251429,4
"59",1,0.909,0.531,11,-4.236,0.034,0.0175,0,0.231,0.814,195.092,178000,4
"60",1,0.686,0.766,0,-8.187,0.0477,0.000183,0.922,0.105,0.302,127.987,408960,4
"61",0,0.966,0.47,5,-3.346,0.174,0.000263,0.00571,0.377,0.428,144.994,344471,4
"62",0,0.744,0.729,6,-5.512,0.0765,0.0285,0,0.19,0.24,150.008,182431,4
"63",0,0.957,0.439,9,-6.399,0.0461,0.00958,0.849,0.0767,0.114,135.997,423160,4
"64",1,0.409,0.468,9,-12.895,0.112,0.187,0.000134,0.0764,0.0365,169.921,129750,4
"65",0,0.789,0.542,5,-2.926,0.0447,0.0229,0.65,0.15,0.196,150.045,408000,4
"66",1,0.399,0.775,1,-14.106,0.263,0.00703,0.016,0.591,0.289,167.963,109643,4
"67",1,0.332,0.875,1,-10.797,0.459,0.396,1.3e-06,0.0884,0.38,123.964,172173,4
"68",1,0.995,0.504,1,-5.576,0.0997,0.0018,0.733,0.241,0.298,137.985,488714,4
"69",1,0.769,0.346,4,-7.224,0.109,0.00829,0,0.0815,0.163,150.589,250267,4
"70",0,0.945,0.434,4,-3.86,0.107,0.00125,0.000351,0.397,0.156,136.511,98952,4
"71",1,0.537,0.517,2,-6.424,0.0385,0.588,3.91e-05,0.335,0.509,163.346,189762,3
"72",0,0.494,0.791,0,-10.625,0.044,0.0289,0.813,0.106,0.261,220.014,371453,4
"73",0,0.655,0.538,11,-9.339,0.242,0.249,0.131,0.102,0.25,165.902,106988,4
"74",0,0.976,0.42,0,-7.281,0.0701,6.61e-05,0.65,0.0536,0.268,137.028,458978,4
"75",1,0.855,0.521,7,-5.027,0.076,0.000241,0.0103,0.343,0.186,137.974,216616,4
"76",1,0.969,0.668,7,-5.025,0.0838,0.000267,0.84,0.619,0.11,145.013,436966,4
"77",0,0.806,0.589,10,-3.431,0.0437,0.00311,0.859,0.0772,0.235,173.999,267307,4
"78",1,0.73,0.676,1,-5.963,0.267,0.00193,0,0.0627,0.489,178.117,215853,4
"79",0,0.851,0.794,7,-4.444,0.0622,0.018,0.254,0.0658,0.402,129.987,238568,4
"80",0,0.935,0.674,10,-6.186,0.0666,0.00598,0.902,0.0733,0.517,172.002,254008,4
"81",0,0.985,0.509,6,-5.864,0.0501,6.87e-05,0.585,0.217,0.0595,145.016,503172,4
"82",1,0.998,0.449,0,-4.319,0.362,0.125,0.0928,0.338,0.0883,149.987,199203,4
"83",1,0.301,0.62,8,-11.346,0.0303,0.366,0.93,0.0933,0.155,220.038,208770,4
"84",0,0.963,0.565,5,-7.353,0.0427,0.000419,0.793,0.688,0.54,139.995,421484,4
"85",1,0.894,0.546,8,-3.56,0.0898,0.459,0.000106,0.322,0.387,125.031,205440,4
"86",1,0.973,0.216,2,-4.613,0.0496,0.000355,0.908,0.171,0.677,138.023,230379,3
"87",1,0.976,0.432,1,-1.104,0.253,0.000574,0.161,0.0908,0.389,149.847,256000,4
"88",0,0.563,0.67,10,-8.508,0.0355,0.0905,0.000417,0.205,0.259,138.036,188133,4
"89",0,0.958,0.706,10,-4.215,0.0503,0.053,0.202,0.123,0.658,122.995,446001,4
"90",1,0.439,0.689,0,-7.47,0.03,0.302,0.756,0.444,0.107,121.998,208180,4
"91",1,0.992,0.874,2,-6.34,0.0858,0.000817,0.891,0.0149,0.907,122.975,309268,4
"92",1,0.686,0.373,0,-5.52,0.034,0.128,1.96e-06,0.383,0.189,187.526,289080,4
"93",0,0.892,0.403,0,-5.346,0.0794,0.0434,5.38e-05,0.262,0.109,149.864,172200,4
"94",1,0.527,0.805,2,-7.379,0.0497,0.000984,0.816,0.0526,0.699,124.023,393871,4
"95",0,0.991,0.452,5,-5.543,0.0861,0.00215,0.0314,0.0707,0.311,139.983,449829,4
"96",1,0.851,0.599,1,-6.279,0.45,0.203,0,0.325,0.787,174.57,196853,4
"97",1,0.517,0.761,5,-6.916,0.0927,0.114,0,0.157,0.46,147.912,174730,4
"98",0,0.977,0.541,6,-6.078,0.0797,0.000319,0.815,0.133,0.0299,137.997,426080,4
"99",1,0.911,0.471,8,-4.122,0.0471,3.95e-05,0,0.272,0.438,189.796,203200,4
"100",1,0.542,0.51,9,-8.621,0.249,0.225,0,0.607,0.346,173.152,241960,3
"101",0,0.97,0.808,6,-6.319,0.061,0.000524,0.947,0.0681,0.713,125.981,350454,4
"102",1,0.813,0.748,10,-5.543,0.0582,0.14,0.192,0.0805,0.119,123.985,382956,4
"103",1,0.955,0.533,8,-3.708,0.0653,0.000165,1.36e-05,0.38,0.55,107.984,216733,4
"104",1,0.657,0.631,1,-7.923,0.104,0.000447,0.0123,0.54,0.137,114.819,90712,4
"105",0,0.8,0.477,9,-4.487,0.0459,0.000511,0.857,0.0763,0.248,174.068,309655,4
"106",1,0.968,0.609,1,-0.63,0.515,0.00108,0.114,0.202,0.261,171.984,161860,4
"107",1,0.869,0.518,11,-6.688,0.058,0.00614,0.813,0.0719,0.0876,144.993,407172,4
"108",1,0.544,0.357,2,-5.675,0.0357,0.336,0,0.0651,0.167,167.844,227880,4
"109",0,0.988,0.435,10,-4.47,0.0496,0.000158,0.31,0.397,0.244,137.986,275311,4
"110",1,0.401,0.54,0,-10.499,0.0364,0.576,0,0.164,0.24,152.974,289160,3
"111",1,0.741,0.536,6,-5.534,0.0312,0.00214,0.168,0.121,0.0966,145.006,225603,4
"112",1,0.908,0.573,9,-8.163,0.0501,0.00145,0.163,0.0949,0.147,147.036,305973,4
"113",0,0.83,0.65,10,-7.594,0.16,0.00338,1.42e-05,0.0862,0.28,194.202,240293,4
"114",0,0.764,0.526,8,-6.18,0.0365,0.0117,0.108,0.277,0.319,134.027,212239,4
"115",1,0.523,0.768,0,-10.87,0.175,0.118,0.0444,0.107,0.595,129.954,123744,4
"116",1,0.902,0.709,1,-6.812,0.0466,2.05e-05,0.773,0.0988,0.0522,149.017,427387,4
"117",1,0.79,0.684,0,-9.28,0.0977,0.0273,0.911,0.111,0.452,128.004,420000,4
"118",1,0.549,0.562,9,-6.394,0.0254,0.028,0,0.309,0.314,145.02,148867,4
"119",1,0.442,0.914,4,-10.622,0.0779,0.639,8.23e-05,0.109,0.642,120.055,156056,4
"120",1,0.908,0.713,6,-7.767,0.103,0.000472,0.779,0.108,0.0478,133.021,463031,4
"121",1,0.766,0.751,9,-8.118,0.277,0.00727,0,0.216,0.595,193.408,225200,4
"122",0,0.717,0.643,8,-4.876,0.506,0.184,0,0.152,0.46,181.786,223507,4
"123",1,0.364,0.794,5,-12.232,0.283,0.262,0,0.304,0.505,192.104,170625,4
"124",0,0.936,0.641,7,-5.967,0.0733,0.000653,0.795,0.413,0.417,148.016,364904,4
"125",0,0.708,0.835,10,-8.586,0.0634,0.0178,0.643,0.098,0.641,121.988,334426,4
"126",1,0.98,0.645,0,-6.898,0.0445,2.91e-05,0.843,0.318,0.26,143.018,443077,4
"127",0,0.888,0.622,11,-6.058,0.108,0.000762,0.000719,0.132,0.396,150.08,275461,4
"128",0,0.55,0.518,7,-8.705,0.476,0.0453,0,0.137,0.224,168.738,175892,4
"129",0,0.766,0.738,0,-4.631,0.0272,0.185,0,0.397,0.78,109.997,202720,4
"130",0,0.976,0.496,11,-4.779,0.0953,0.000133,0.12,0.65,0.162,137.986,516522,4
"131",1,0.323,0.545,3,-12.006,0.0391,0.102,2.74e-06,0.107,0.193,149.941,215200,4
"132",1,0.906,0.667,7,-3.498,0.0615,0.00365,0.123,0.408,0.841,150.027,240192,4
"133",1,0.881,0.592,7,-7.96,0.0541,0.0196,0.882,0.104,0.285,132.039,278465,4
"134",0,0.675,0.697,10,-7.332,0.227,0.0597,0,0.192,0.183,144.948,204117,4
"135",0,0.809,0.499,5,-13.267,0.0482,3.44e-05,0.593,0.154,0.226,131.764,240727,4
"136",1,0.946,0.68,6,-1.916,0.339,0.148,0,0.25,0.622,186.166,165432,4
"137",1,0.941,0.816,1,1.55,0.252,0.109,0.00291,0.104,0.379,140.012,231429,4
"138",1,0.795,0.458,0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4
"139",1,0.977,0.789,7,-8.423,0.0697,1.57e-05,0.772,0.0532,0.626,122.99,406923,4
"140",0,0.663,0.687,8,-10.182,0.0474,6.29e-05,0.854,0.136,0.383,127.025,388560,4
"141",1,0.837,0.742,7,-11.618,0.0436,0.000226,0.649,0.125,0.537,130.003,421923,4
"142",0,0.321,0.725,1,-10.744,0.323,0.578,0,0.0884,0.319,140.284,178640,4
"143",1,0.989,0.498,7,-5.858,0.0583,1.89e-05,0.755,0.0615,0.0511,138.008,423032,4
"144",1,0.841,0.803,2,-6.819,0.102,0.000962,0.81,0.068,0.839,124.003,389247,4
"145",1,0.842,0.833,6,-5.744,0.0567,0.000382,0.396,0.0194,0.882,124.983,215903,4
"146",1,0.872,0.771,8,-4.996,0.321,0.0739,2.82e-05,0.137,0.51,144.956,105971,4
"147",0,0.597,0.588,2,-5.719,0.0297,0.004,0,0.251,0.224,127.907,195140,4
"148",1,0.637,0.834,7,-5.222,0.318,0.0932,4.04e-05,0.189,0.717,186.272,307600,4
"149",1,0.225,0.656,7,-11.777,0.0313,0.641,6.32e-05,0.101,0.156,106.023,265560,4
"150",1,0.684,0.575,1,-6.007,0.325,0.299,0,0.614,0.926,172.155,204040,4
"151",1,0.869,0.556,1,-3.813,0.269,0.0123,0.0485,0.342,0.132,150.276,166400,4
"152",0,0.83,0.383,4,-8.322,0.0659,0.000354,0.81,0.152,0.0344,135.986,488824,4
"153",1,0.905,0.544,8,-6.377,0.0455,0.0457,0.869,0.294,0.398,138.004,558536,4
"154",1,0.632,0.713,1,-7.685,0.105,0.0589,1.44e-06,0.105,0.373,170.009,181290,4
"155",0,0.604,0.969,4,-6.305,0.118,0.0922,0,0.105,0.899,126.988,188118,4
"156",0,0.752,0.707,0,-4.401,0.0885,0.269,0,0.377,0.724,150.061,199373,4
"157",1,0.944,0.489,0,-5.066,0.0511,0.00117,0.522,0.432,0.223,175.032,301714,4
"158",1,0.822,0.701,5,-4.181,0.0738,0.0541,0,0.157,0.392,176.05,212520,4
"159",0,0.812,0.468,9,-3.54,0.0527,0.000417,2.55e-05,0.107,0.0847,173.908,274464,4
"160",0,0.895,0.404,10,-3.335,0.0381,0.00499,0.000671,0.365,0.396,149.838,214937,4
"161",0,0.677,0.506,4,-9.999,0.0371,9.96e-05,0.0748,0.18,0.152,127.966,276094,4
"162",1,0.812,0.544,1,-6.431,0.393,0.0185,0,0.481,0.678,183.529,180000,4
"163",1,0.567,0.781,9,-9.208,0.0596,0.02,0.619,0.141,0.276,124.025,190720,4
"164",1,0.977,0.715,11,-5.161,0.172,0.00504,2.13e-05,0.0729,0.475,130.022,122846,4
"165",1,0.911,0.735,4,-6.58,0.0396,0.000148,0.902,0.0996,0.227,126.004,460952,4
"166",1,0.988,0.591,8,-2.526,0.319,0.00761,0.27,0.0638,0.153,138.975,94964,4
"167",0,0.742,0.758,11,-9.34,0.0782,0.0915,0.915,0.081,0.258,126.012,388599,4
"168",0,0.956,0.532,8,-8.063,0.101,0.00213,0.184,0.113,0.213,149.885,249200,4
"169",1,0.739,0.577,7,-5.398,0.0268,0.000108,0.903,0.164,0.0583,114.989,258783,4
"170",1,0.2,0.637,2,-17.277,0.205,0.303,0.00528,0.102,0.414,180.002,224000,3
"171",1,0.698,0.808,2,-6.187,0.0805,0.00619,0.858,0.115,0.27,137.976,414285,4
"172",1,0.677,0.764,11,-8.194,0.281,0.0139,0,0.0855,0.447,190.098,199810,4
"173",0,0.951,0.681,6,-8.01,0.0516,0.000224,0.865,0.318,0.043,140.051,418286,4
"174",0,0.791,0.567,5,-4.631,0.0772,0.0622,0.0117,0.112,0.16,149.903,179600,4
"175",1,0.991,0.663,1,-3.908,0.0809,0.00491,0.839,0.107,0.64,137.972,186159,4
"176",1,0.746,0.574,7,-4.554,0.0459,9.31e-05,0.655,0.0564,0.284,173.999,271035,4
"177",1,0.751,0.319,11,-2.801,0.0619,0.0219,0.151,0.515,0.474,139.58,101987,4
"178",1,0.6,0.689,10,-8.657,0.0913,0.00508,0,0.0921,0.155,209.958,165167,4
"179",0,0.679,0.801,4,-8.747,0.0527,0.17,8.85e-06,0.188,0.483,130.015,227115,4
"180",1,0.619,0.859,6,-9.434,0.121,0.137,0,0.0933,0.631,132.01,221818,4
"181",0,0.817,0.665,0,-4.991,0.336,0.502,0.000855,0.0832,0.371,170.594,262560,4
"182",0,0.84,0.889,10,-9.281,0.0741,0.0144,3.36e-06,0.046,0.697,124.62,320213,4
"183",0,0.544,0.792,5,-8.572,0.0556,3.39e-05,0.89,0.099,0.0678,132.999,407820,4
"184",1,0.945,0.456,6,-3.699,0.0391,0.00231,0.766,0.253,0.21,149.954,214394,4
"185",1,0.905,0.665,7,-5.785,0.253,0.161,0.0669,0.907,0.288,114.938,147305,4
"186",1,0.924,0.419,1,-5.507,0.105,0.00229,0.00294,0.296,0.143,150.179,244083,4
"187",1,0.589,0.693,6,-11.772,0.0412,0.00027,0.879,0.108,0.31,125.14,322827,4
"188",0,0.98,0.411,3,-5.563,0.247,0.00113,0.602,0.394,0.0929,140.03,210000,4
"189",1,0.651,0.681,9,-5.533,0.104,0.103,0,0.103,0.416,212.09,257385,4
"190",0,0.921,0.752,5,-4.321,0.0696,0.0182,0,0.256,0.634,115.033,236693,4
"191",1,0.484,0.589,7,-11.613,0.0742,0.42,0.0385,0.109,0.0726,139.998,95709,4
"192",1,0.865,0.637,1,-5.11,0.0622,0.000723,0.808,0.163,0.0643,140.027,438857,4
"193",0,0.919,0.656,11,-4.434,0.123,0.00201,0.00543,0.106,0.341,139.959,225200,4
"194",1,0.88,0.639,11,-6.15,0.0773,0.00189,0.49,0.305,0.152,142.028,387308,4
"195",1,0.842,0.891,0,-7.838,0.179,0.00413,0.0185,0.721,0.791,140.025,124777,4
